Date added,Partner,Acc Number,Profile Rating Page,Overall Rating,Disagree 1-5 Agree,What should the rating be,Notes
16/08/2023,OLG,BEDE146776,https://minerva.sportingsolutions.com/ratings/olg/BEDE146776,47,5,47,"up6% from a vsmall sample but agree with slight downward move away from 50 when looking at Price move metrics. Rated 58 on basketball with negative ROI but positive price move, small sample here is weighting price move metrics more than ROI."
16/08/2023,OLG,BEDE24376169,https://minerva.sportingsolutions.com/ratings/olg/BEDE24376169,57,5,57,"Up 1% from 286k stakes/551 bets. Only marginally up, sample big enough to weight ROI higher than price move metrics which are negative for customer. Happy to be higher than 50(break even) at 57 as beating margin by a few %. "
16/08/2023,OLG,BEDE25136125,https://minerva.sportingsolutions.com/ratings/olg/BEDE25136125,56,4,60,Positive Price move metrics (62 BF and 81 Price Move) I would have this account at 60 or higher even though only 3% up from 98 bets. If ROI continues at 3% as sample increases then ~56 fine 
16/08/2023,OLG,BEDE24825496,https://minerva.sportingsolutions.com/ratings/olg/BEDE24825496,62,4,57,"up 1% from 21k stakes/687 bets. Marginally up but feel 62 is too high, has negative price move metrics too, happier to weight ROI more given the sample but still feel 62 too high."
16/08/2023,OLG,BEDE24661558,https://minerva.sportingsolutions.com/ratings/olg/BEDE24661558,60,4,55,Up 2% from 900k/1030 bets - Feel the account should be around 55. Happy to weight ROI more than other metrics given the sample. Staking rating of 77 being removed from formula could have this acc at 55.
16/08/2023,Danske,4345814,https://minerva.sportingsolutions.com/ratings/danskespil/4345814,81,5,80,"Up 7% from 200k/1200 bets - Feel 81 is about right given the sample, mainly betting inplay so we have to rely more on ROI"
16/08/2023,OLG,BEDE16530277,https://minerva.sportingsolutions.com/ratings/olg/BEDE16530277,30,3,20,Losing 9% from 845 bets/500k stakes. Should be lower IMO - potentially low confidence limiting the move.
16/08/2023,OLG,BEDE25122574,https://minerva.sportingsolutions.com/ratings/olg/BEDE25122574,53,3,65,"Should be higher ~65. I feel price move/beat factor metrics negatively impacted by proportion of bets on static ""Bet Boost"" markets. Low Confidence overall too which is limiting move away from 50."
16/08/2023,Danske,3859712,https://minerva.sportingsolutions.com/ratings/danskespil/3859712,41,1,10,59 racing - Should be rated much lower IMO - vlucky 25 leg acca copped for 80k. The 59 on racing is with -ve staking and price move metrics too.
16/08/2023,Danske,1171530,https://minerva.sportingsolutions.com/ratings/danskespil/1171530,49,1,10,"Low confidence inhibitng a much lower rating here- should be rated at 10 max (confidence at 5, from 1179 bets). - Most bets pie in the sky accas"
16/08/2023,OLG,BEDE23730520,https://minerva.sportingsolutions.com/ratings/olg/BEDE23730520,77,1,30,"20% up account, had a few good wins from bets we would be very happy to lay. Account has had more than 2 big winning bets from their 997 total - this potentiall effecting the confident ROI rating"
16/08/2023,Danske,961170,https://minerva.sportingsolutions.com/ratings/danskespil/961170,91,1,7,One of the worst accounts on the books. All multis and generally in-play with scattergun approach lookking for next hit. Cashing out to mess up ratings and giving huge staking and confidence rating.
17/08/2023,Spinfo,KY969,https://minerva.sportingsolutions.com/ratings/spinfo/KY969,84,5,85,"One of the best accounts for Spinfo - price move at 100 and beat factor 65, staking 84 probably limiting the acc from being rated higher than 84"
17/08/2023,OLG,BEDE24371022,https://minerva.sportingsolutions.com/ratings/olg/BEDE24371022,83,4,80,"6% up from 1k bets.  Taking consistent value on most US sports although is underperforming on American Football.  Final ratings a touch higher than I would make them, may be related to such high confidence?"
17/08/2023,OLG,BEDE24375438,https://minerva.sportingsolutions.com/ratings/olg/BEDE24375438,84,5,84,"Up 12% picking off early lines when market leaders aren't up with prices.  Not sure why the price move metrics are at 50, but final rating looks about right"
17/08/2023,Danske,4348908,https://minerva.sportingsolutions.com/ratings/danskespil/4348908,76,4,80,"4% up overall, 10% up on football where rated 84. Price move metrics at 50- across the board.. Id expect these to be higher and therefore the overall rating higher, does plenty of prematch singles that shorten. "
17/08/2023,Danske,567928,https://minerva.sportingsolutions.com/ratings/Danskespil/567928,51,2,65,"Understand low sample/confidence limiting the move away from 50 but should be higher, only betting on US racing and up 30% from 10k/69 bets. Potential issue with input data - beat factor at 0?"
18/08/2023,Danske,896689,https://minerva.sportingsolutions.com/ratings/Danskespil/896689,66,3,75,"Hit and miss across the board but very underrated for greyhounds.   Their 60 rating on GH should be 90+, possible input issue with price move metrics at 0"
18/08/2023,OLG,BEDE25291942,https://minerva.sportingsolutions.com/ratings/olg/BEDE25291942,14,1,60,"Interesting account, had mostly poor results however we've seen multiple examples of sharp baseball bets.  Feels like they could be disguising bad bets amongst more recreational business and therefore we don't see how the confidence can be so high for their baseball rating.  Has a 63 rating for basketball where the customer has failed to mask the sharper business"
18/08/2023,Spinfo,LE570,https://minerva.sportingsolutions.com/ratings/spinfo/LE570,79,4,85,"Rating pretty close, however price move metrics look very underrated to what we'd expect.  Most bets on corners handicaps/totals which may be where the issue lies in respect to closing prices"
18/08/2023,Spinfo,HF823,https://minerva.sportingsolutions.com/ratings/spinfo/HF823,93,5,93,Rated 100 for darts.  Every bet is a decent arb against the exchange and is worthy of max rating
18/08/2023,Spinfo,JK727,https://minerva.sportingsolutions.com/ratings/spinfo/JK727,74,5,74,Up 6% and sharp on US sports.  Price move metrics and overall sport ratings look virtually spot on
18/08/2023,Spinfo,KV226,https://minerva.sportingsolutions.com/ratings/spinfo/KV226,33,3,20,"Very happy to take his bets, rated 33 but would have them 20 or even lower, although not a massive issue"
18/08/2023,CSGO,5537001,https://minerva.sportingsolutions.com/ratings/csgoempire/5537001,46,2,30,"Losing 7% but should be rated lower - scores poorly on metrics accros the board with 98 confidence, would have expected a bigger move away from 50."
20/08/2023,Danske,1512748,https://minerva.sportingsolutions.com/ratings/Danskespil/1512748,70,2,50,"ROI at 2% (+ve skewed due to 1 bet on oddset lyn winning 1000kr) from 257 bets - no move from 50 in price move metrics, feel as though the staking is inflating towards 70. -2% on football from 249 bets and rated 70, feel this should be closer to 50 on the sport rating"
20/08/2023,Danske,1070023,https://minerva.sportingsolutions.com/ratings/Danskespil/1070023,71,2,50,"Massive sample/breakeven player, should be lower than 70 given the 50 price move metric ratings, can only assume staking inflating towards 71 but feel even then 71 is way too big"
20/08/2023,Danske,896910,https://minerva.sportingsolutions.com/ratings/Danskespil/896910,84,3,70,"Large % of bets IP where we cannot use price move metrics, 6% up so would have the customer less than 84- feel staking at 100 irrelevant and probably inflating towards 84. large enough sample to be near 70 overall based on 6% ROI from 2321 bets"
20/08/2023,OLG,BEDE25004250,https://minerva.sportingsolutions.com/ratings/olg/BEDE25004250,79,3,70,"Larhe % on IP football, Account 5% up - feel 79 too high though, possible that staking having too much effect"
21/08/2023,Spinfo,A9675,https://minerva.sportingsolutions.com/ratings/spinfo/A9675,72,3,65,"Confidence of 9, rated 72 - not understanding how with such low confidence we have managed to move 22pts away from 50. Would have thought given positive price move metrics that the account is around 60-65"
21/08/2023,Danske,4005891,https://minerva.sportingsolutions.com/ratings/Danskespil/4005891,57,4,50,"Agree with the rating when taking the metrics at face value, fairly decent sample -1% ROI overall - however account appears to be betting value and should be 60+ in reality"
21/08/2023,Danske,434,https://minerva.sportingsolutions.com/ratings/Danskespil/434,70,2,55,"Break even with a 1300 bet sample, should be 50-55 really. All metrics barring confidence (100) and Staking (80) at 50 or average."
21/08/2023,Danske,4361041,https://minerva.sportingsolutions.com/ratings/Danskespil/4361041,70,4,75,"8% up from 314 bets. 70-75 is about fine tbh, negative staking currently and lower than expected confidence limiting move towards 80. If price move metrics were functioning above 50 then I would expect the account to be 80+ overall. "
21/08/2023,Danske,3602145,https://minerva.sportingsolutions.com/ratings/Danskespil/3602145,80,5,80,"9% up from 260 bets. 80 fine for this account, high confidence - all bets on football prematch singles"
21/08/2023,Danske,1456613,https://minerva.sportingsolutions.com/ratings/Danskespil/1456613,77,5,77,8% up from 197 bets with strong confidence. Would be around 75 with lower staking rating which I think is more or less spot on. 
23/08/2023,Spinfo,KG148,https://minerva.sportingsolutions.com/ratings/spinfo/KG148,15,4,12,"Rating for greyhounds is 12 which is about right, Horse racing rating is 26 - would expect it to be just slightly above greyhounds (around 15).  Seems staking of 72 is inflating horse racing and confidence slightly lower"
23/08/2023,Spinfo,KC821,https://minerva.sportingsolutions.com/ratings/spinfo/KC821,96,5,96,"Very shrewd customer on all kinds of out of line prices.  Unsure why confidence is so low for horse racing though as i'd expect a higher rating for that sport, but wouldn't have much impact on final rating"
23/08/2023,Spinfo,KN559,https://minerva.sportingsolutions.com/ratings/spinfo/KN559,81,4,90,"Every bet an arb and has had an incredible strike rate too with 96% ROI from 27 football bets.  Would already be rating this account higher even though the sample is small, given every bet looks sharp and has developed a good price move rating already"
23/08/2023,Spinfo,B0583,https://minerva.sportingsolutions.com/ratings/spinfo/B0583,25,4,15,"Big loser, 47% down and would want them in the 0-20 rating range"
23/08/2023,OLG,BEDE25247929,https://minerva.sportingsolutions.com/ratings/olg/BEDE25247929,60,1,30,"Accumulator punter, 10% up due to lucky wins but we wouldn't want such a big ROI weighting when it comes to accumulator returns.  We are happy with the bets and lucky results shouldn't be able to inflate ratings this much"
23/08/2023,OLG,BEDE25215379,https://minerva.sportingsolutions.com/ratings/olg/BEDE25215379,62,3,75,"13% up and trader notes suggest they regularly are taking value prices.  Would expect the beat factor and price move to be higher in this case, so this could be a data issue"
25/08/2023,OLG,BEDE25305949,https://minerva.sportingsolutions.com/ratings/olg/BEDE25305949,31,4,25,"Losing 8% from 1000+ bets but has a weird mix of ratings - 21 for baseball, 77 for basketball.  I would have basketball rating much lower as their price move metrics are still scoring very low"
25/08/2023,OLG,BEDE24556484,https://minerva.sportingsolutions.com/ratings/olg/BEDE24556484,82,1,40,"Very volatile ratings on this account.  Baseball now rated 85, was rated 14 on this sport and jumped to 85 after just 3 winning bets.  This is due to a huge number of bets for $1 including system bets with 100's of lines, then the occasional $500/1k stake which have had positive returns but have not been beats/price moves.  Huge sample of tiny bets inflating ratings massively here"
25/08/2023,Spinfo,A9603,https://minerva.sportingsolutions.com/ratings/spinfo/A9603,13,5,13,Rating about right given how poor ROI has been coupled with very poor price move metrics
29/08/2023,Danske,3863541,http://minerva.sportingsolutions.com/ratings/danskespil/3863541,24,5,25,Nice blend of multi and sgl business with no movers and good ROI from our point of view. Good bet count with over 1000 bets and perfect recreational punter
,,1043857Ê,,55,1,10,"Data issue here - account showing in profit when shouldn't be, most likely due to void legs counting as full pay in system bets"
04/09/2023,Danske,27523,https://minerva.sportingsolutions.com/ratings/danskespil/27523,67,2,40,Staking weighting too high. Figures look good off high volume of bets (mainly tennis)
04/09/2023,Danske,4339704,http://minerva.sportingsolutions.com/ratings/danskespil/4339704,86,1,35,High confidence rating on football and ROI. Copped a couple of accas but good business. ROI too high weighting 
05/09/2023,CSGO,1220611,https://minerva.sportingsolutions.com/ratings/csgoempire/1220611,61,2,45,Scores negatively in price move metrics and losing 6% with a confidence of 97. Can only assume the 2 losses flipped ROI of +2% is keeping this account above 50. 
06/09/2023,OLG,BEDE25225552,https://minerva.sportingsolutions.com/ratings/olg/BEDE25225552,56,3,65,"Relatively small sample still of 80 bets but I believe confidence should be higher than 48 which is limiting the Overall rating from reaching 60 - positive price move metric (66) and +4% ROI. All singles and 99% Prematch bets, generally traits of higher rated players using skill."
06/09/2023,Danske,3990387,https://minerva.sportingsolutions.com/ratings/danskespil/3990387,73,2,50,Account is up 30% due to a 6 fold landing with all favs. Confidence is 34 so do not understand how we can be so far away from 50 based soley of ROI from initial 43 bets - would want to weight other metrics (price move and beat factor)/characteristics (bet types/IP or PM) at this relatively early stage
06/09/2023,3et,7258,https://minerva.sportingsolutions.com/ratings/3et/7258,11,5,11,"Losing 26%, confidence 90, price move 10 and beat factor 22. Agree with this move away from 50 after 121 bets and poor performing metrics. If trend continues would OR to move closer to 0 as confidence increases. "
06/09/2023,Danske,807671,https://minerva.sportingsolutions.com/ratings/danskespil/807671,75,5,75,Good ROI off high volume and pm sgls. Specialises in footy nad IH and those sport ratings are good. High confidence levels off the metrics we want and no reliability on multis
11/09/2023,OLG,BEDE24379736,https://minerva.sportingsolutions.com/ratings/olg/BEDE24379736,49 (AM F 61),2,35,Rating on American football way too high off acca business. More emphasis needs to be on Beat Factor. Losses flipped % too big and too much weighting
13/09/2023,CSGO,1453122,https://minerva.sportingsolutions.com/ratings/csgoempire/1453122,64,4,60,"-3% ROI from 250 bets/98 confidence - for overall the only positive metric is staking where rated 58, everything else is 50. 64 rating weighted towards strong sports rating on Counterstrike of 83 with 7% ROI where 60% of customers stakes are placed.D59"
13/9/2023,OLG,BEDE24449373,https://minerva.sportingsolutions.com/ratings/olg/BEDE24449373,73,1,20,Too much emphasis on accumulator wins from 2021 resulting in positive ROI.  Rating should be going the other way if anything as this is purely recreational business
13/09/2023,CSGO,616945,https://minerva.sportingsolutions.com/ratings/csgoempire/616945,45,5,45,"Account is 18% up from a small sample of 28 bets (confidence at 9) - Negative movements in both price metrics - price move 32, beat factor 30. It appears profile weighting the price move metrics higher than ROI in this initial small sample so has moved downward from 50 by 5 (due to low confidence the move is limited) which feels bang on for me. "
13/09/2023,Danske,430166Ê,https://minerva.sportingsolutions.com/ratings/danskespil/430166,83,1,20,"Underlying data looks wrong here as the account should have a negative ROI, but even still when using the data that is in profile this final rating still seems too high.  Taking the data in profile, final rating shouldn't be much higher than 65 given sample size"
14/09/2023,OLG,BEDE24697664,https://minerva.sportingsolutions.com/ratings/olg/BEDE24697664,20,3,5,"20 too high for this account - 6500 bets, losing 19%, beat factor 6%, Price Move 4%. Its quite an achievement to get such low scores. Lots of inplay accumulators so on footyball (PM/IP split % and Single/Multip split %), almost every selection overs. Great customer."
14/09/2023,OLG,BEDE25291942,https://minerva.sportingsolutions.com/ratings/olg/BEDE25291942,28,4,40,40 feels fine for this account with the metrics displayed however the sport rating of 20 on baseball is worth a check vs the account aboves sport rating of 20 on football (BEDE24697664)
14/09/2023,Danske,681800,https://minerva.sportingsolutions.com/ratings/danskespil/681800,64,2,50,"64 is too high, sample of 21 bets client is 13% up but betting short prices and just on a good run. Wouldnt move too far away from 50 at this stage with low sample/confidence. Price move metrics both at 50 so assume positive ROI is the reason for the move to 64- feels incorrect to weight ROI this much from 21 bets."
19/09/2023,Danske,3812467,https://minerva.sportingsolutions.com/ratings/danskespil/3812467,59 (70 football),3,60 for football,"Disagreement with football rating, losing 2% on the sport from a massive turnover which means the account is good for us.  Think a rating should only get to 70+ if they have a positive ROI from this amount of bets, or if they have a high rating in price move and beat factor.  (also worth noting the greyhound data is way off true ROI, but the customer is profitable on greyhounds and would expect a higher rating than 60 there too.  Beat factor broken for GH)"
21/09/2023,OLG,BEDE23989242,https://minerva.sportingsolutions.com/ratings/olg/BEDE23989242,46,3,55,"Understand the rating not being too high given such a poor ROI and a very small sample, but think this account should be heading slightly up from 50 rather than down.  Has a good beat factor/price move which from a small sample is a stronger indicator of player skill than ROI from pre match singles."
21/09/2023,Danske,1916,https://minerva.sportingsolutions.com/ratings/danskespil/1916,72,3,60,Staking rating is at 0 somehow? If it was at 50 this account would be rated too high7ly (imagine 75+) for a break even ROI from a 3000 bet sample
29/09/2023,Danske,972610,https://minerva.sportingsolutions.com/ratings/danskespil/972610,44,3,30,"Losing 9% from 1149 bet sample, should be 30 max in my opinion. Betting types a real mix (PM/IP, singles multiples)"
06/10/2023,Danske,961654,https://minerva.sportingsolutions.com/ratings/danskespil/961654,93,1,40,May just be something that is hard to get right with automation but this accounts profits are stemming from a 14 fold and 4 fold copping for 100k kr profit in total from those two bets. Has also had other successfull doubles but all bets appear fine as taken
01/11/2023,OLG,BEDE23826272,https://minerva.sportingsolutions.com/ratings/olg/BEDE23826272,62,4*,62,"With the metrics displayed the rating is more or less fine...HOWEVER, I have very little confidence in the beat factor and price move metrics being accurate. Would expect those to be above 50 for this account and therefore overall rating towards 70"

